epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,243.536,0.71046,1.42101,0.63844,0.99355,0.8389,0.4555,0.48449,0.35893,0.8389,0.4555,0.46771,0.33857,1.04842,3.15966,1.08933,1.25944,0.000641125,0.000641125,0.000641125
31,251.182,0.69514,1.42761,0.61878,0.99402,0.8041,0.42488,0.45515,0.30649,0.79792,0.41956,0.43513,0.30457,1.07824,2.8893,1.18688,1.26555,0.00062875,0.00062875,0.00062875
32,258.317,0.68066,1.30891,0.6007,0.97796,0.7893,0.38465,0.47727,0.33247,0.78268,0.37933,0.44357,0.29784,1.01528,3.52999,0.99807,1.24332,0.000616375,0.000616375,0.000616375
33,265.751,0.66933,1.31188,0.58519,0.96392,0.8612,0.44711,0.5486,0.36805,0.83363,0.42584,0.49511,0.32968,1.02928,2.98004,0.95912,1.28412,0.000604,0.000604,0.000604
34,273.032,0.68159,1.34793,0.57547,0.95782,0.59112,0.49829,0.53353,0.38465,0.59876,0.49806,0.5473,0.36888,0.97817,2.80367,0.90525,1.23119,0.000591625,0.000591625,0.000591625
35,279.716,0.68492,1.40221,0.58509,0.97296,0.5354,0.506,0.52521,0.37927,0.59169,0.46004,0.48728,0.35507,0.94925,2.93917,0.8978,1.24065,0.00057925,0.00057925,0.00057925
36,287.162,0.67456,1.28848,0.57719,0.97423,0.8092,0.47029,0.49414,0.39359,0.8301,0.48997,0.49719,0.35826,0.93928,3.29367,1.01795,1.24555,0.000566875,0.000566875,0.000566875
37,293.827,0.68741,1.33205,0.56005,0.96478,0.83607,0.4685,0.52671,0.40871,0.83607,0.4685,0.52612,0.35524,0.9321,2.66843,0.94313,1.25292,0.0005545,0.0005545,0.0005545
38,301.387,0.63695,1.25985,0.5416,0.95734,0.8007,0.46502,0.53025,0.40032,0.80152,0.46424,0.52133,0.3702,0.9646,2.85547,0.85674,1.28184,0.000542125,0.000542125,0.000542125
39,309.241,0.65869,1.26231,0.55817,0.97543,0.79387,0.55265,0.54564,0.41796,0.79238,0.55341,0.55001,0.38038,0.92217,3.04125,0.91453,1.24362,0.00052975,0.00052975,0.00052975
40,317.401,0.63117,1.22044,0.53937,0.96066,0.8202,0.5013,0.52277,0.41392,0.84188,0.48353,0.51235,0.36562,0.86046,2.9726,0.93681,1.15568,0.000517375,0.000517375,0.000517375
41,324.159,0.61687,1.27184,0.54606,0.9508,0.81602,0.47262,0.50075,0.3805,0.80452,0.46198,0.47941,0.35808,0.92988,2.73163,1.07882,1.18966,0.000505,0.000505,0.000505
42,331.47,0.61441,1.20669,0.52367,0.95524,0.87205,0.48516,0.53477,0.41288,0.87205,0.48516,0.52208,0.3935,0.89127,2.80104,0.99921,1.17105,0.000492625,0.000492625,0.000492625
43,338.468,0.60398,1.13917,0.50429,0.93795,0.5111,0.51132,0.49913,0.38146,0.50607,0.506,0.4871,0.34919,0.97056,2.47938,1.00508,1.20964,0.00048025,0.00048025,0.00048025
44,345.585,0.61704,1.21409,0.51172,0.94622,0.56177,0.46142,0.5089,0.39685,0.56177,0.46142,0.49706,0.36116,0.92464,2.48048,0.94546,1.14667,0.000467875,0.000467875,0.000467875
45,353.078,0.62777,1.24164,0.51996,0.94947,0.61013,0.481,0.49431,0.37804,0.60003,0.47036,0.4544,0.34878,0.93939,2.6596,0.97082,1.15804,0.0004555,0.0004555,0.0004555
46,360.477,0.62609,1.1607,0.52,0.94285,0.61822,0.45973,0.50601,0.39175,0.61822,0.45973,0.47946,0.36587,0.92128,2.86904,0.89247,1.14742,0.000443125,0.000443125,0.000443125
47,367.849,0.60275,1.1373,0.49403,0.93446,0.59872,0.47568,0.51829,0.41318,0.59872,0.47568,0.49733,0.36713,0.85438,2.83692,0.85285,1.1247,0.00043075,0.00043075,0.00043075
48,374.347,0.612,1.19473,0.49286,0.94061,0.74147,0.55723,0.53684,0.43687,0.82825,0.45452,0.51197,0.37082,0.84584,2.65045,0.86386,1.16227,0.000418375,0.000418375,0.000418375
49,381.979,0.59511,1.16491,0.4947,0.94408,0.63298,0.48762,0.54783,0.45033,0.63298,0.48762,0.53243,0.39456,0.90573,3.04258,0.87976,1.15733,0.000406,0.000406,0.000406
50,388.684,0.59375,1.12488,0.48063,0.92712,0.59464,0.47941,0.52493,0.43023,0.58547,0.47409,0.52306,0.37628,0.91198,2.70662,0.91935,1.15151,0.000393625,0.000393625,0.000393625
51,396.994,0.55322,1.06119,0.46371,0.92299,0.58725,0.51664,0.51393,0.42656,0.57435,0.506,0.50945,0.36485,0.85869,2.51829,0.8674,1.12054,0.00038125,0.00038125,0.00038125
52,403.827,0.57415,1.08464,0.47417,0.92786,0.80338,0.456,0.50853,0.4097,0.8049,0.456,0.50165,0.3678,0.82409,2.90526,0.8565,1.09217,0.000368875,0.000368875,0.000368875
53,410.943,0.55696,1.02337,0.45185,0.92584,0.55546,0.49696,0.4985,0.40662,0.55104,0.49164,0.50191,0.37665,0.80046,3.18208,0.88987,1.07924,0.0003565,0.0003565,0.0003565
54,418.221,0.55658,1.00093,0.44057,0.91408,0.57464,0.4948,0.52661,0.42301,0.56954,0.48304,0.52311,0.38612,0.83281,3.35966,0.91553,1.09824,0.000344125,0.000344125,0.000344125
55,425.372,0.56169,0.98611,0.44867,0.91545,0.55928,0.49536,0.53481,0.4242,0.5442,0.48555,0.51848,0.39267,0.93271,3.09175,0.90857,1.21148,0.00033175,0.00033175,0.00033175
56,433.267,0.54717,0.97478,0.44046,0.91096,0.60295,0.47941,0.53915,0.42571,0.59535,0.47409,0.52963,0.38224,0.93005,2.80327,0.91163,1.24908,0.000319375,0.000319375,0.000319375
57,439.865,0.53621,0.9631,0.43732,0.90267,0.56711,0.49892,0.52436,0.41508,0.52369,0.47568,0.47831,0.36692,0.94068,2.80833,0.88819,1.24111,0.000307,0.000307,0.000307
58,447.349,0.53339,0.98634,0.44499,0.91148,0.63519,0.43246,0.52161,0.42511,0.63519,0.43246,0.49608,0.38026,0.91874,2.76268,0.86405,1.1835,0.000294625,0.000294625,0.000294625
59,453.977,0.52398,0.96395,0.42357,0.91774,0.55474,0.45705,0.52407,0.42715,0.55474,0.45705,0.51159,0.389,0.8812,2.75493,0.87481,1.15396,0.00028225,0.00028225,0.00028225
60,461.444,0.5268,1.02353,0.43009,0.8977,0.49234,0.55733,0.52197,0.42467,0.56569,0.457,0.50701,0.37186,0.87603,2.66448,0.90944,1.14502,0.000269875,0.000269875,0.000269875
61,468.07,0.53074,0.97651,0.43357,0.90644,0.51828,0.49764,0.51893,0.41569,0.51346,0.49232,0.50661,0.37601,0.85183,2.59453,0.87037,1.15088,0.0002575,0.0002575,0.0002575
62,475.662,0.51506,0.91002,0.41633,0.90406,0.59526,0.45068,0.52249,0.42618,0.59601,0.45068,0.50965,0.37802,0.85523,2.52789,0.84138,1.15498,0.000245125,0.000245125,0.000245125
63,482.279,0.52597,0.94874,0.43722,0.90308,0.58141,0.51124,0.54578,0.43877,0.57589,0.50432,0.54093,0.39839,0.86538,2.7288,0.85679,1.16228,0.00023275,0.00023275,0.00023275
64,489.852,0.5088,0.92637,0.40913,0.89529,0.51685,0.51132,0.53468,0.43609,0.58471,0.51799,0.55395,0.38532,0.86768,2.72893,0.89725,1.17125,0.000220375,0.000220375,0.000220375
65,496.447,0.5143,0.93638,0.41435,0.90311,0.54116,0.51132,0.54178,0.44546,0.56406,0.53632,0.5499,0.37201,0.81848,2.67737,0.83062,1.13954,0.000208,0.000208,0.000208
66,504.012,0.50428,0.89538,0.41138,0.9007,0.63117,0.48462,0.55457,0.45472,0.63117,0.48462,0.54198,0.39742,0.80334,2.70382,0.81534,1.11117,0.000195625,0.000195625,0.000195625
67,510.895,0.50587,0.93028,0.41177,0.90408,0.61963,0.4899,0.55581,0.45798,0.61963,0.4899,0.54534,0.40248,0.78771,2.81193,0.81826,1.09772,0.00018325,0.00018325,0.00018325
68,518.249,0.48001,0.86929,0.39244,0.88749,0.54421,0.5675,0.55331,0.46619,0.54006,0.56218,0.54057,0.38918,0.78736,2.79031,0.82016,1.08623,0.000170875,0.000170875,0.000170875
69,525.296,0.50369,0.91871,0.41374,0.90915,0.56522,0.55985,0.55972,0.46034,0.5608,0.55289,0.54627,0.40006,0.7978,2.821,0.79963,1.09742,0.0001585,0.0001585,0.0001585
70,532.359,0.49832,0.93002,0.39116,0.89204,0.58479,0.50504,0.54636,0.45376,0.58479,0.50504,0.54739,0.40816,0.78985,2.86422,0.7752,1.09932,0.000146125,0.000146125,0.000146125
71,542.393,0.4691,0.84717,0.40796,0.87001,0.58229,0.52196,0.55001,0.45274,0.57653,0.51664,0.53119,0.40504,0.78454,2.8908,0.79531,1.10731,0.00013375,0.00013375,0.00013375
72,548.442,0.4426,0.73223,0.35933,0.86839,0.57918,0.48958,0.52793,0.44088,0.57918,0.48958,0.51746,0.39001,0.78094,2.81524,0.84278,1.10535,0.000121375,0.000121375,0.000121375
73,555.23,0.44498,0.76318,0.36056,0.8657,0.57215,0.48573,0.5356,0.45443,0.57215,0.48573,0.52219,0.38813,0.78668,2.82559,0.84403,1.09848,0.000109,0.000109,0.000109
74,562.038,0.43859,0.70813,0.34952,0.86012,0.57859,0.50318,0.55051,0.46248,0.57859,0.50318,0.54119,0.39689,0.76369,2.76241,0.82778,1.076,9.6625e-05,9.6625e-05,9.6625e-05
75,569.084,0.42169,0.67588,0.33173,0.85614,0.57045,0.52465,0.56827,0.47303,0.57377,0.52142,0.56007,0.41235,0.757,2.77605,0.80019,1.07658,8.425e-05,8.425e-05,8.425e-05
76,575.056,0.41901,0.71006,0.33937,0.86177,0.57057,0.53095,0.56038,0.46756,0.5778,0.54591,0.56538,0.42231,0.76919,2.78002,0.77152,1.09395,7.1875e-05,7.1875e-05,7.1875e-05
77,582.007,0.41166,0.72613,0.32842,0.85941,0.59646,0.51287,0.5568,0.47371,0.57292,0.56041,0.56583,0.42671,0.75488,2.77574,0.76888,1.08657,5.95e-05,5.95e-05,5.95e-05
78,587.944,0.41689,0.65938,0.32335,0.84389,0.59889,0.51469,0.55708,0.46956,0.57195,0.56416,0.56847,0.433,0.75901,2.78929,0.77287,1.09774,4.7125e-05,4.7125e-05,4.7125e-05
79,594.784,0.40502,0.66507,0.32067,0.85675,0.60283,0.51537,0.55929,0.47677,0.59905,0.5472,0.5724,0.43204,0.75753,2.78907,0.78563,1.10141,3.475e-05,3.475e-05,3.475e-05
80,600.889,0.41683,0.72548,0.31693,0.8586,0.61661,0.51532,0.55902,0.47141,0.59947,0.54952,0.57177,0.42526,0.75625,2.76198,0.78168,1.10442,2.2375e-05,2.2375e-05,2.2375e-05
